施設・事業名,緯度,経度
小学館アカデミーまいた保育園,35.433016,139.613953
小さな足あと保育園,35.429662,139.608374
蒔田ひまわり保育園,35.432986,139.610186
睦町保育園,35.430532,139.617458
アスク吉野町保育園,35.436141,139.619271
きらり保育園吉野町,35.436627,139.62189
京急キッズランド黄金町保育園,35.439095,139.620385
清水ヶ丘保育園,35.438846,139.610986
南愛児園,35.435684,139.608522
三春台保育園,35.442472,139.61528
めいとく保育園,35.439805,139.613083
横浜みなみ薫保育園,35.43609,139.617936
くらき永田保育園,35.435367,139.596595
たけのこ永田東保育園,35.437736,139.599702
横浜市永田保育園,35.432191,139.589296
六ツ川台保育園,35.428208,139.579993
六ツ川西保育園,35.423449,139.571396
六ツ川みどり保育園,35.427978,139.580312
よこはま風の遊育園,35.420882,139.581429
アイン弘明寺保育園,35.419512,139.601608
アスクいどがや保育園,35.433486,139.602091
京急キッズランド井土ケ谷駅保育園,35.433888,139.601209
ひびき井土ヶ谷保育園,35.430685,139.597922
プチ・ナーサリー弘明寺,35.422777,139.599391
ララランド井土ヶ谷,35.431011,139.596182
横浜市井土ケ谷保育園,35.429966,139.606764
大岡おひさま保育園,35.415792,139.602207
大岡はるかぜ保育園,35.413994,139.602642
上大岡ラビット保育園,35.416456,139.592978
キッズパートナー弘明寺,35.419914,139.596773
久良岐保育園,35.420415,139.593672
別所保育園,35.416586,139.591923
認定こども園山王台幼稚園,35.429149,139.58715
キューピールームＰ-ｋａｂｏｏ園,35.435278,139.624677
チームナーサリーＢｉｇＨｕｇ南太田,35.433931,139.611728
キッズパートナー井土ヶ谷,35.435543,139.600471
ばばほいくしつ黄金町,35.440542,139.621993
ぽかぽか保育園,35.442442,139.613276
木の花保育園,35.433219,139.605041
竹の子共同保育園,35.431812,139.602314
パナマリア保育園弘明寺園,35.424655,139.60297
つぼみの森保育室,35.462363,139.509351
もりた保育室,35.440559,139.590308
ペパンルーム,35.453915,139.638713
赤い屋根保育園,35.371409,139.58149
アスク上大岡保育園,35.403716,139.594971
アスク港南中央保育園,35.397699,139.587385
アスクさいど保育園,35.414729,139.595653
育美保育園,35.3683,139.590503
オハナ上永谷保育園,35.405457,139.577983
風の丘・上大岡東保育園,35.407487,139.599277
上大岡はるかぜ保育園,35.413994,139.602642
上大岡ゆう保育園,35.409099,139.595335
上永谷保育園,35.405495,139.57615
上永谷西保育園,35.401754,139.564543
キッズガーデン横浜最戸,35.414572,139.59416
クオリスキッズ港南中央保育園,35.399496,139.591552
グローバルキッズ上大岡園,35.404122,139.596606
京急キッズランド上大岡保育園,35.404704,139.597302
京急キッズランド上永谷保育園,35.401959,139.573244
港南あひる保育園,35.413371,139.578082
港南台つばさ保育園,35.373238,139.58634
港南台保育園,35.376525,139.577846
港南台保育センター,35.376533,139.577823
港南つくしんぼ保育園,35.401227,139.593986
港南はるかぜ保育園,35.386102,139.575368
港南ひまわり保育園,35.397335,139.571284
ＣＯＳＭＯＳ保育園,35.390015,139.583236
サイド・サン保育園,35.412807,139.59295
笹下保育園,35.398494,139.590717
笹下南つくしんぼ保育園,35.391273,139.593336
ＳＵＮはるかぜ保育園,35.388728,139.57451
小学館アカデミーかみおおおか保育園,35.41044,139.597249
小学館アカデミーかみながや保育園,35.401975,139.573926
芹が谷ぴよっこ保育園,35.418886,139.575152
太陽の子　港南台保育園,35.378064,139.578593
チェリーガーデン保育園,35.409115,139.566963
つくし保育園　上大岡,35.410643,139.593351
つばさ保育園,35.407976,139.593625
野庭保育園,35.386904,139.573173
白峰保育園,35.37171,139.574178
日野保育園,35.380376,139.590762
丸山台保育園,35.400648,139.567797
みなみひの保育園,35.376311,139.572684
横浜市大久保保育園,35.410104,139.587862
横浜市港南台第二保育園,35.369546,139.589326
横浜市野庭第二保育園,35.39355,139.572095
上大岡ラビット保育園ＴＷＩＮＳ,35.410941,139.594373
キッズアミ,35.402617,139.581437
クオリスキッズ上大岡西保育園,35.404778,139.596649
港南台きらきら保育園,35.379147,139.57722
スクルドエンジェル保育園上大岡園,35.405088,139.595244
ちゅーりっぷキッズ,35.404124,139.59266
ちゅーりっぷハウス,35.40818,139.593061
ニコニコ保育園,35.399696,139.569573
ぱぷりか保育園　上大岡,35.415335,139.598098
保育室アーモ,35.374542,139.575728
Ｐｏｃｏ　ａ　Ｐｏｃｏ保育園,35.397036,139.586638
めぐみ保育園,35.410263,139.593719
クオリスキッズ上大岡駅前保育園,35.406926,139.59716
こどもっと保育園,35.371882,139.578191
認定こども園関東学院のびのびのば園,35.391667,139.567543
認定こども園ムロノキッズ　室の木幼稚園・プリスクール室の木,35.401859,139.581866
認定こども園　森が丘幼稚園,35.39832,139.599631
認定こども園　大谷幼稚園,35.396622,139.588667
認定こども園　竹の子幼稚園,35.388814,139.577287
認定こども園　野庭聖佳幼稚園,35.387873,139.568674
認定こども園　日野幼稚園,35.39533,139.583968
あーす保育園保土ケ谷,35.444614,139.600347
霞台保育園（分園含む）,35.44686,139.594516
学校法人初音丘学園ＰＩＣＣＯＬＩＮＯ,35.447807,139.578393
昴保育園,35.447557,139.600904
ダイアナ保育園,35.444717,139.595828
ゆめの樹保育園ほどがや,35.450197,139.597326
横浜市岩井保育園,35.44195,139.60309
若葉保育園（分園含む）,35.4465,139.579857
岩間保育園,35.452387,139.602859
にじいろ保育園天王町,35.458163,139.602074
ベネッセ　保土ケ谷保育園,35.450029,139.600554
保土ケ谷保育園,35.45604,139.605075
横浜市神戸保育園,35.451879,139.599277
横浜市天王町保育園,35.45534,139.602461
ＧＥＮＫＩＤＳ星川保育園,35.459302,139.596667
合歓の木保育園,35.454825,139.59644
星川こども園,35.459856,139.589991
星川もえぎ保育園,35.459056,139.598193
星川ルーナ保育園,35.460964,139.593349
明神台保育園,35.457445,139.590361
りとる・ルーナ保育園,35.460975,139.593501
アスク和田町保育園,35.464659,139.588785
三丁目こども園,35.462846,139.588973
スターチャイルド≪和田町ナーサリー≫,35.46395,139.584187
にじいろ保育園和田町,35.463524,139.58753
ポポラー横浜和田町園,35.46026,139.584484
ラフ・クルー星川保育園,35.463691,139.592191
認定こども園和田愛児園,35.466391,139.585838
エルアンジュ保育園（分園含む）,35.466579,139.577678
にじいろ保育園上星川,35.468557,139.580769
向台保育園,35.468585,139.568235
梅の木保育園,35.47769,139.570598
えぶち保育園（分園含む）,35.480698,139.570447
えぶちにしや園（分園含む）,35.477232,139.567767
川島保育園,35.472485,139.570182
西谷保育園,35.475378,139.570039
西谷保育園分園　きらり保育園,35.475224,139.570596
アミー保育園　三ツ沢園,35.47789,139.60059
ひかりの風保育園,35.477509,139.590274
森のルーナ保育園,35.473211,139.594106
笹山保育園,35.489337,139.567033
千丸台保育園,35.491952,139.552512
桜ケ丘保育園,35.448043,139.564924
新桜ケ丘保育園,35.454859,139.563594
プチアンジュ保育園,35.453848,139.558276
認定こども園あかいとりこども園,35.438012,139.573586
境木保育園,35.442021,139.563472
認定こども園峯岡幼稚園,35.465547,139.597445
たしろ保育室,35.452173,139.603756
おおきくなぁ〜れ　プチベベ保育室,35.452173,139.603756
おれんじハウス星川保育園,35.457397,139.595549
天王町駅前もえぎ保育園,35.454214,139.602622
ばばほいくしつ星川,35.456197,139.597104
東戸塚もえぎ保育室,35.436029,139.563165
ベイキッズ　おりーぶ保育園,35.461489,139.585611
保育室ピア・ピア,35.45553,139.604503
キッズハーモニー・ほどがや,35.446048,139.600312
横浜市左近山保育園,35.461546,139.549919
マヤ保育園,35.459463,139.560399
横浜市今宿保育園,35.481499,139.529279
ちとせ保育園,35.476824,139.53654
西川島保育園,35.470781,139.556847
鶴ヶ峰保育園,35.469637,139.547266
あっぷる保育園鶴ヶ峰,35.474472,139.549332
上の原保育園,35.46591,139.555111
ポプラ保育園,35.473514,139.549208
ポプラ第二保育園,35.474242,139.550978
オハナ鶴ヶ峰保育園,35.47592,139.550109
あゆみ保育園,35.47674,139.545502
あゆみキッズ保育園,35.476473,139.547078
あゆみ保育園第二,35.47682,139.545472
太陽の子　鶴ヶ峰保育園,35.47814,139.550987
キッズガーデン横浜鶴ヶ峰,35.475302,139.552773
スターチャイルド《鶴ヶ峰ナーサリー》,35.469337,139.624626
横浜市ひかりが丘保育園,35.500142,139.532059
土と愛　子供の家保育所,35.503093,139.530901
土と愛　子供の家保育所第２,35.503093,139.530901
星の子白根保育園,35.48645,139.551775
太陽の子　白根保育園,35.479869,139.55688
グローバルキッズ白根保育園,35.487568,139.542652
まきが原愛児園,35.456858,139.536616
中尾保育園,35.465228,139.518393
横浜市柏保育園,35.449803,139.524223
明徳二俣川保育園,35.463471,139.531141
旭はるかぜ保育園,35.464602,139.52289
横浜小谷かなりや保育園,35.462049,139.542031
太陽の子　さちが丘保育園,35.460165,139.527323
横濱あんじゅ保育園,35.461105,139.532768
のぞみ保育園,35.453806,139.525702
グローバルキッズ南万騎が原園,35.45215,139.525715
太陽の子　二俣川駅保育園,35.463264,139.533035
保育園夢未来二俣川園,35.461033,139.529968
旭あじさい保育園,35.462625,139.530358
ひまわり愛児園,35.478873,139.51565
中希望が丘保育園,35.4593,139.510571
キッズビレッジつくし保育園,35.469844,139.509861
善部保育園,35.452095,139.507734
横浜あさひ中央保育園,35.460855,139.511557
夢のつぼみ保育園,35.467205,139.506673
つぼみ保育園,35.462363,139.509351
三ツ境たんぽぽ保育園,35.471797,139.502812
コナミスポーツ保育園　希望が丘,35.461466,139.515389
希望ヶ丘プラス保育園,35.458769,139.514445
わかばの森保育園,35.508715,139.500568
認定こども園二俣川幼稚園,35.473537,139.538543
認定こども園　上の原幼稚園,35.462488,139.554219
川井宿幼保連携型認定こども園,35.491698,139.521207
認定こども園やつはしキッズ　八ッ橋幼稚園,35.46148,139.508808
認定こども園　希望ヶ丘幼稚園・希望ヶ丘保育園,35.463497,139.519534
認定こども園　オーセルわかば幼稚園,35.504162,139.504902
認定こども園　若葉台こども園,35.505022,139.500198
保育室　ひかり,35.455818,139.564884
あさひすまいる保育園,35.478489,139.548207
ＳＡＦＡＲＩ　ＫＩＤ保育園,35.471841,139.538881
ぱぷりか保育園　鶴ヶ峰,35.475152,139.545743
ＳＥＡＳＯＮ　ＫＩＤ保育園,35.474971,139.548574
ちゃいれっく　上白根保育室,35.488483,139.541748
