【令和６年７月１日時点】受入可能数,,,,,,,,,,,,
施設所在区,標準地域コード,施設・事業名,施設番号,０歳児,１歳児,２歳児,３歳児,４歳児,５歳児,合計,更新日,
中区,14104,にじいろ保育園関内,1410051024925,0,0,0,0,0,0,0,2024-07-01,
中区,14104,伊勢佐木町保育園,1410051023604,0,3,0,-,-,-,3,2024-07-01,
中区,14104,ララランド横浜伊勢佐木,1410051026656,0,0,0,0,0,0,0,2024-07-01,
中区,14104,アスク山下町保育園,1410051016426,3,0,0,4,0,6,13,2024-07-01,
中区,14104,横濱中華幼保園,1410051026805,0,0,0,2,0,0,2,2024-07-01,
中区,14104,うちゅう保育園やました,1410051023711,0,0,0,0,0,0,0,2024-07-01,
中区,14104,アメリカ山徳育こども園,1410051013910,0,1,0,2,0,0,3,2024-07-01,
中区,14104,木下の保育園　山下町,1410051024552,1,2,0,3,1,3,10,2024-07-01,
中区,14104,うみの風保育園,1410051013928,0,0,0,1,0,1,2,2024-07-01,
中区,14104,新山下二丁目保育所,1410051016467,0,0,0,0,0,0,0,2024-07-01,
中区,14104,保育園小紅,1410051024180,0,3,0,-,-,-,3,2024-07-01,
中区,14104,キディ石川町・横浜,1410051013936,0,0,0,0,1,0,1,2024-07-01,
中区,14104,ラフ・クルー元町保育園,1410051015154,2,1,0,1,0,0,4,2024-07-01,
中区,14104,ことぶき保育園,1410051015360,0,5,1,3,0,1,10,2024-07-01,
中区,14104,寿福祉センター保育所,1410051016459,1,5,0,1,0,0,7,2024-07-01,
中区,14104,保育園ばんびーな,1410051018588,-,7,0,2,1,1,11,2024-07-01,
中区,14104,ヨコハマきぼう保育園,1410051019891,1,0,0,1,0,1,3,2024-07-01,
中区,14104,打越保育園,1410051016434,-,2,0,5,0,4,11,2024-07-01,
中区,14104,横浜市山手保育園,1410051018828,-,0,0,3,0,0,3,2024-07-01,
中区,14104,うちゅうこども園やまて,1410051025773,0,0,0,0,0,0,0,2024-07-01,
中区,14104,横浜市竹之丸保育園,1410051018836,2,0,0,3,5,6,16,2024-07-01,
中区,14104,山元町保育園,1410051018042,0,3,0,4,0,0,7,2024-07-01,
中区,14104,木下の保育園　本牧,1410051024545,0,0,0,5,0,0,5,2024-07-01,
中区,14104,横浜市錦保育園,1410051020022,-,3,0,4,2,3,12,2024-07-01,
中区,14104,すいとぴー保育園,1410051016475,0,0,0,1,2,2,5,2024-07-01,
中区,14104,高風保育園,1410051016442,-,0,2,5,5,3,15,2024-07-01,
中区,14104,アスク本牧保育園,1410051019321,0,0,1,0,3,0,4,2024-07-01,
中区,14104,太陽の子　不動下保育園,1410051016491,0,0,0,0,0,1,1,2024-07-01,
